ISIN,Issuer,information
DE0001135416,"GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)","{""identity"":""247"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":2.8575342465753426,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-BOND"",""type"":""BOND"",""timeToMaturityDays"":1043,""ISIN"":""DE0001135416"",""ratingScore"":""100"",""price"":109.566,""maturityDate"":""2020/04/09"",""yield"":0,""minUnitValue"":0.01,""name"":""GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""DE0001135416"",""minUnit"":1,""issueDate"":""2010/08/20""}}"
DE0001135424,"GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)","{""identity"":""248"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":3.835616438356164,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-BOND"",""type"":""BOND"",""timeToMaturityDays"":1400,""ISIN"":""DE0001135424"",""ratingScore"":""100"",""price"":111.376,""maturityDate"":""2021/04/01"",""yield"":0,""minUnitValue"":0.01,""name"":""GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""DE0001135424"",""minUnit"":1,""issueDate"":""2010/11/26""}}"
DE0001141661,"GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)","{""identity"":""249"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":0.8657534246575342,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""DE-NOTE5.5"",""type"":""BOND"",""timeToMaturityDays"":316,""ISIN"":""DE0001141661"",""ratingScore"":""100"",""price"":100.888,""maturityDate"":""2018/04/13"",""yield"":0,""minUnitValue"":0.01,""name"":""GERMANY, FEDERAL REPUBLIC OF (GOVERNMENT)"",""currency"":""EUR"",""id"":""DE0001141661"",""minUnit"":1,""issueDate"":""2013/10/05""}}"
HK0000284379,,"{""identity"":""191"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":50000,""idType"":""ISIN"",""timeToMaturityYears"":0.4712328767123288,""rating"":""AA+"",""ACUOCategory"":""MM Instruments"",""ICADCode"":""HK-BILL"",""type"":""BILL"",""timeToMaturityDays"":172,""ISIN"":""HK0000284379"",""ratingScore"":""99"",""price"":105.105,""maturityDate"":""2017/11/20"",""yield"":0,""minUnitValue"":50000,""name"":""HONG KONG T-BILLS"",""currency"":""HKD"",""id"":""HK0000284379"",""minUnit"":1,""issueDate"":""2015/11/18""}}"
HK0000304151,,"{""identity"":""192"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":50000,""idType"":""ISIN"",""timeToMaturityYears"":1.2191780821917808,""rating"":""AA+"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""HK-NOTE"",""type"":""NOTE"",""timeToMaturityDays"":445,""ISIN"":""HK0000304151"",""ratingScore"":""99"",""price"":99.625,""maturityDate"":""2018/08/20"",""yield"":0,""minUnitValue"":50000,""name"":""HONG KONG GOVERNMENT"",""currency"":""HKD"",""id"":""HK0000304151"",""minUnit"":1,""issueDate"":""2016/09/28""}}"
HK0000132073,,"{""identity"":""198"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":50000,""idType"":""ISIN"",""timeToMaturityYears"":0.547945205479452,""rating"":""AA+"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""HK-NOTE"",""type"":""NOTE"",""timeToMaturityDays"":200,""ISIN"":""HK0000132073"",""ratingScore"":""99"",""price"":99.625,""maturityDate"":""2017/12/18"",""yield"":0,""minUnitValue"":50000,""name"":""HONG KONG GOVERNMENT"",""currency"":""HKD"",""id"":""HK0000132073"",""minUnit"":1,""issueDate"":""2012/12/17""}}"
HK0000191137,,"{""identity"":""199"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":50000,""idType"":""ISIN"",""timeToMaturityYears"":1.8136986301369864,""rating"":""AA+"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""HK-NOTE"",""type"":""NOTE"",""timeToMaturityDays"":662,""ISIN"":""HK0000191137"",""ratingScore"":""99"",""price"":101.795,""maturityDate"":""2019/03/25"",""yield"":0,""minUnitValue"":50000,""name"":""HONG KONG GOVERNMENT"",""currency"":""HKD"",""id"":""HK0000191137"",""minUnit"":1,""issueDate"":""2014/03/24""}}"
HK0000047131,HONG KONG SPECIAL ADMINISTRATIVE REGION OF THE PEOPLE'S REPUBLIC OF CHINA,"{""identity"":""263"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":50000,""idType"":""ISIN"",""timeToMaturityYears"":1.0657534246575342,""rating"":""AA+"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""HK-NOTE"",""type"":""BOND"",""timeToMaturityDays"":389,""ISIN"":""HK0000047131"",""ratingScore"":""99"",""price"":103.284,""maturityDate"":""2018/06/25"",""yield"":0,""minUnitValue"":50000,""name"":""HONG KONG SPECIAL ADMINISTRATIVE REGION OF THE PEOPLE'S REPUBLIC OF CHINA"",""currency"":""HKD"",""id"":""HK0000047131"",""minUnit"":1,""issueDate"":""2008/06/25""}}"
HK0000053535,HONG KONG SPECIAL ADMINISTRATIVE REGION OF THE PEOPLE'S REPUBLIC OF CHINA,"{""identity"":""264"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":50000,""idType"":""ISIN"",""timeToMaturityYears"":2.347945205479452,""rating"":""AA+"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""HK-NOTE"",""type"":""BOND"",""timeToMaturityDays"":857,""ISIN"":""HK0000053535"",""ratingScore"":""99"",""price"":104.184,""maturityDate"":""2019/10/06"",""yield"":0,""minUnitValue"":50000,""name"":""HONG KONG SPECIAL ADMINISTRATIVE REGION OF THE PEOPLE'S REPUBLIC OF CHINA"",""currency"":""HKD"",""id"":""HK0000053535"",""minUnit"":1,""issueDate"":""2009/09/06""}}"
HK0000159993,HONG KONG SPECIAL ADMINISTRATIVE REGION OF THE PEOPLE'S REPUBLIC OF CHINA,"{""identity"":""265"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":50000,""idType"":""ISIN"",""timeToMaturityYears"":11.232876712328768,""rating"":""AA+"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""HK-NOTE"",""type"":""BOND"",""timeToMaturityDays"":4100,""ISIN"":""HK0000159993"",""ratingScore"":""99"",""price"":112.418,""maturityDate"":""2028/08/22"",""yield"":0,""minUnitValue"":50000,""name"":""HONG KONG SPECIAL ADMINISTRATIVE REGION OF THE PEOPLE'S REPUBLIC OF CHINA"",""currency"":""HKD"",""id"":""HK0000159993"",""minUnit"":1,""issueDate"":""2013/08/22""}}"
HK0000164167,HONG KONG SPECIAL ADMINISTRATIVE REGION OF THE PEOPLE'S REPUBLIC OF CHINA,"{""identity"":""266"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":50000,""idType"":""ISIN"",""timeToMaturityYears"":1.3178082191780822,""rating"":""AA+"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""HK-NOTE"",""type"":""BOND"",""timeToMaturityDays"":481,""ISIN"":""HK0000164167"",""ratingScore"":""99"",""price"":101.408,""maturityDate"":""2018/09/25"",""yield"":0,""minUnitValue"":50000,""name"":""HONG KONG SPECIAL ADMINISTRATIVE REGION OF THE PEOPLE'S REPUBLIC OF CHINA"",""currency"":""HKD"",""id"":""HK0000164167"",""minUnit"":1,""issueDate"":""2013/09/25""}}"
IT0005239022,"ITALY, REPUBLIC OF (GOVERNMENT)","{""identity"":""171"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""rating"":""BBB+"",""timeToMaturityYears"":0.1643835616438356,""ACUOCategory"":""MM Instruments"",""ICADCode"":""IT-BOT"",""type"":""BILL"",""timeToMaturityDays"":60,""ISIN"":""IT0005239022"",""ratingScore"":""93"",""price"":100.96,""maturityDate"":""2017/07/31"",""yield"":0,""minUnitValue"":1000,""name"":""BUONI ORDINARI DEL TESORO"",""currency"":""EUR"",""id"":""IT0005239022"",""minUnit"":1,""issueDate"":""2017/01/27""}}"
IT0005217390,"ITALY, REPUBLIC OF (GOVERNMENT)","{""identity"":""177"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":49.78082191780822,""rating"":""BBB+"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""IT-BTP"",""type"":""BOND"",""timeToMaturityDays"":18170,""ISIN"":""IT0005217390"",""ratingScore"":""93"",""price"":0.6,""maturityDate"":""2067/03/01"",""yield"":0,""minUnitValue"":1000,""name"":""BUONI POLIENNALI DEL TES"",""currency"":""EUR"",""id"":""IT0005217390"",""minUnit"":1,""issueDate"":""2017/03/30""}}"
IT0004957574,"ITALY, REPUBLIC OF (GOVERNMENT)","{""identity"":""185"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":1.5013698630136987,""rating"":""BBB+"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""IT-BTP"",""type"":""BOND"",""timeToMaturityDays"":548,""ISIN"":""IT0004957574"",""ratingScore"":""93"",""price"":109.348,""maturityDate"":""2018/12/01"",""yield"":0,""minUnitValue"":1000,""name"":""BUONI POLIENNALI DEL TES"",""currency"":""EUR"",""id"":""IT0004957574"",""minUnit"":1,""issueDate"":""2013/09/02""}}"
IT0003644769,"ITALY, REPUBLIC OF (GOVERNMENT)","{""identity"":""186"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":2.671232876712329,""rating"":""BBB+"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""IT-BTP"",""type"":""BOND"",""timeToMaturityDays"":975,""ISIN"":""IT0003644769"",""ratingScore"":""93"",""price"":116.813,""maturityDate"":""2020/02/01"",""yield"":0,""minUnitValue"":1000,""name"":""BUONI POLIENNALI DEL TES"",""currency"":""EUR"",""id"":""IT0003644769"",""minUnit"":1,""issueDate"":""2004/03/24""}}"
IT0004953417,"ITALY, REPUBLIC OF (GOVERNMENT)","{""identity"":""187"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":6.7534246575342465,""rating"":""BBB+"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""IT-BTP"",""type"":""BOND"",""timeToMaturityDays"":2465,""ISIN"":""IT0004953417"",""ratingScore"":""93"",""price"":126.703,""maturityDate"":""2024/03/01"",""yield"":0,""minUnitValue"":1000,""name"":""BUONI POLIENNALI DEL TES"",""currency"":""EUR"",""id"":""IT0004953417"",""minUnit"":1,""issueDate"":""2013/08/01""}}"
IT0001444378,"ITALY, REPUBLIC OF (GOVERNMENT)","{""identity"":""188"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":13.923287671232877,""rating"":""BBB+"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""IT-BTP"",""type"":""BOND"",""timeToMaturityDays"":5082,""ISIN"":""IT0001444378"",""ratingScore"":""93"",""price"":155.595,""maturityDate"":""2031/05/01"",""yield"":0,""minUnitValue"":1000,""name"":""BUONI POLIENNALI DEL TES"",""currency"":""EUR"",""id"":""IT0001444378"",""minUnit"":1,""issueDate"":""2000/03/17""}}"
JP1051231F37,JAPAN (GOVERNMENT OF),"{""identity"":""168"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":50000,""idType"":""ISIN"",""timeToMaturityYears"":2.802739726027397,""rating"":""A"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""JP-JGB"",""type"":""BOND"",""timeToMaturityDays"":1023,""ISIN"":""JP1051231F37"",""ratingScore"":""95"",""price"":0.6,""maturityDate"":""2020/03/20"",""yield"":0,""minUnitValue"":50000,""name"":""JAPAN (5 YEAR ISSUE)"",""currency"":""JPY"",""id"":""JP1051231F37"",""minUnit"":1,""issueDate"":""2015/03/12""}}"
JP1051171E30,JAPAN (GOVERNMENT OF),"{""identity"":""169"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":50000,""idType"":""ISIN"",""rating"":""A"",""timeToMaturityYears"":1.8,""ACUOCategory"":""MM Instruments"",""ICADCode"":""JP-JGB"",""type"":""BOND"",""timeToMaturityDays"":657,""ISIN"":""JP1051171E30"",""ratingScore"":""95"",""price"":0.6,""maturityDate"":""2019/03/20"",""yield"":0,""minUnitValue"":50000,""name"":""JAPAN (2 YEAR ISSUE)"",""currency"":""JPY"",""id"":""JP1051171E30"",""minUnit"":1,""issueDate"":""2017/03/22""}}"
JP1023561F93,JAPAN (GOVERNMENT OF),"{""identity"":""180"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":50000,""idType"":""ISIN"",""rating"":""A"",""timeToMaturityYears"":0.29041095890410956,""ACUOCategory"":""MM Instruments"",""ICADCode"":""JP-JGB"",""type"":""BOND"",""timeToMaturityDays"":106,""ISIN"":""JP1023561F93"",""ratingScore"":""95"",""price"":100.45,""maturityDate"":""2017/09/15"",""yield"":0,""minUnitValue"":50000,""name"":""JAPAN (2 YEAR ISSUE)"",""currency"":""JPY"",""id"":""JP1023561F93"",""minUnit"":1,""issueDate"":""2015/09/15""}}"
JP1023621G33,JAPAN (GOVERNMENT OF),"{""identity"":""181"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":50000,""idType"":""ISIN"",""rating"":""A"",""timeToMaturityYears"":0.7863013698630137,""ACUOCategory"":""MM Instruments"",""ICADCode"":""JP-JGB"",""type"":""BOND"",""timeToMaturityDays"":287,""ISIN"":""JP1023621G33"",""ratingScore"":""95"",""price"":100.624,""maturityDate"":""2018/03/15"",""yield"":0,""minUnitValue"":50000,""name"":""JAPAN (2 YEAR ISSUE)"",""currency"":""JPY"",""id"":""JP1023621G33"",""minUnit"":1,""issueDate"":""2016/03/15""}}"
JP1051161DC4,JAPAN (GOVERNMENT OF),"{""identity"":""182"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":50000,""idType"":""ISIN"",""timeToMaturityYears"":1.5534246575342465,""rating"":""A"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""JP-JGB"",""type"":""BOND"",""timeToMaturityDays"":567,""ISIN"":""JP1051161DC4"",""ratingScore"":""95"",""price"":101.153,""maturityDate"":""2018/12/20"",""yield"":0,""minUnitValue"":50000,""name"":""JAPAN (5 YEAR ISSUE)"",""currency"":""JPY"",""id"":""JP1051161DC4"",""minUnit"":1,""issueDate"":""2013/12/20""}}"
JP1051271G37,JAPAN (GOVERNMENT OF),"{""identity"":""183"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":50000,""idType"":""ISIN"",""timeToMaturityYears"":3.802739726027397,""rating"":""A"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""JP-JGB"",""type"":""BOND"",""timeToMaturityDays"":1388,""ISIN"":""JP1051271G37"",""ratingScore"":""95"",""price"":101.568,""maturityDate"":""2021/03/20"",""yield"":0,""minUnitValue"":50000,""name"":""JAPAN (5 YEAR ISSUE)"",""currency"":""JPY"",""id"":""JP1051271G37"",""minUnit"":1,""issueDate"":""2016/03/22""}}"
JP1103121AC2,JAPAN (GOVERNMENT OF),"{""identity"":""184"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":50000,""idType"":""ISIN"",""timeToMaturityYears"":3.5561643835616437,""rating"":""A"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""JP-JGB"",""type"":""BOND"",""timeToMaturityDays"":1298,""ISIN"":""JP1103121AC2"",""ratingScore"":""95"",""price"":106.79,""maturityDate"":""2020/12/20"",""yield"":0,""minUnitValue"":50000,""name"":""JAPAN (10 YEAR ISSUE)"",""currency"":""JPY"",""id"":""JP1103121AC2"",""minUnit"":1,""issueDate"":""2010/12/20""}}"
US50064FAJ30,"KOREA, REPUBLIC OF (GOVERNMENT)","{""identity"":""208"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""rating"":""AA-"",""timeToMaturityYears"":1.873972602739726,""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""KR-ROK"",""type"":""BOND"",""timeToMaturityDays"":684,""ISIN"":""US50064FAJ30"",""ratingScore"":""97"",""price"":115.858,""maturityDate"":""2019/04/16"",""yield"":0,""minUnitValue"":1000,""name"":""REPUBLIC OF KOREA"",""currency"":""USD"",""id"":""US50064FAJ30"",""minUnit"":1,""issueDate"":""2009/04/16""}}"
XS0277265269,"KOREA, REPUBLIC OF (GOVERNMENT)","{""identity"":""209"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""rating"":""AA-"",""timeToMaturityYears"":4.52054794520548,""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""KR-ROK"",""type"":""BOND"",""timeToMaturityDays"":1650,""ISIN"":""XS0277265269"",""ratingScore"":""97"",""price"":121.387,""maturityDate"":""2021/12/07"",""yield"":0,""minUnitValue"":1000,""name"":""REPUBLIC OF KOREA"",""currency"":""EUR"",""id"":""XS0277265269"",""minUnit"":1,""issueDate"":""2006/12/07""}}"
KR103501G4C0,"KOREA, REPUBLIC OF (GOVERNMENT)","{""identity"":""210"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":10000,""idType"":""ISIN"",""timeToMaturityYears"":0.5260273972602739,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""KR-BOND"",""type"":""BOND"",""timeToMaturityDays"":192,""ISIN"":""KR103501G4C0"",""ratingScore"":""98"",""price"":101.388,""maturityDate"":""2017/12/10"",""yield"":0,""minUnitValue"":10000,""name"":""KOREA TREASURY BOND"",""currency"":""KRW"",""id"":""KR103501G4C0"",""minUnit"":1,""issueDate"":""2014/12/02""}}"
KR103501G5C7,"KOREA, REPUBLIC OF (GOVERNMENT)","{""identity"":""211"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":10000,""idType"":""ISIN"",""timeToMaturityYears"":1.526027397260274,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""KR-BOND"",""type"":""BOND"",""timeToMaturityDays"":557,""ISIN"":""KR103501G5C7"",""ratingScore"":""98"",""price"":101.148,""maturityDate"":""2018/12/10"",""yield"":0,""minUnitValue"":10000,""name"":""KOREA TREASURY BOND"",""currency"":""KRW"",""id"":""KR103501G5C7"",""minUnit"":1,""issueDate"":""2015/09/01""}}"
KR1035027062,"KOREA, REPUBLIC OF (GOVERNMENT)","{""identity"":""212"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":10000,""idType"":""ISIN"",""timeToMaturityYears"":3.0273972602739727,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""KR-BOND"",""type"":""BOND"",""timeToMaturityDays"":1105,""ISIN"":""KR1035027062"",""ratingScore"":""98"",""price"":115.239,""maturityDate"":""2020/06/10"",""yield"":0,""minUnitValue"":10000,""name"":""KOREA TREASURY BOND"",""currency"":""KRW"",""id"":""KR1035027062"",""minUnit"":1,""issueDate"":""2010/06/22""}}"
NO0010646813,"NORWAY, KINDOM OF (GOVERNMENT)","{""identity"":""267"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":5.980821917808219,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""NO-BOND"",""type"":""BOND"",""timeToMaturityDays"":2183,""ISIN"":""NO0010646813"",""ratingScore"":""100"",""price"":105.105,""maturityDate"":""2023/05/24"",""yield"":0,""minUnitValue"":1000,""name"":""NORWAY, KINGDOM OF (GOVERNMENT)"",""currency"":""NOK"",""id"":""NO0010646813"",""minUnit"":1,""issueDate"":""2012/05/24""}}"
NO0010780984,"NORWAY, KINDOM OF (GOVERNMENT)","{""identity"":""268"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":0.5534246575342465,""rating"":""AAA"",""ACUOCategory"":""MM Instruments"",""ICADCode"":""NO-TBILL"",""type"":""BOND"",""timeToMaturityDays"":202,""ISIN"":""NO0010780984"",""ratingScore"":""100"",""price"":99.7795,""maturityDate"":""2017/12/20"",""yield"":0,""minUnitValue"":1000,""name"":""NORWAY, KINGDOM OF (GOVERNMENT)"",""currency"":""NOK"",""id"":""NO0010780984"",""minUnit"":1,""issueDate"":""2016/12/21""}}"
SG76D1000009,"SINGAPORE, REPUBLIC OF (GOVERNMENT)","{""identity"":""189"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":0.6684931506849315,""rating"":""AAA"",""ACUOCategory"":""MM Instruments"",""ICADCode"":""SG-TBILL"",""type"":""BILL"",""timeToMaturityDays"":244,""ISIN"":""SG76D1000009"",""ratingScore"":""100"",""price"":104.09,""maturityDate"":""2018/01/31"",""yield"":0,""minUnitValue"":1000,""name"":""SINGAPORE T-BILLS"",""currency"":""SGD"",""id"":""SG76D1000009"",""minUnit"":1,""issueDate"":""2017/01/31""}}"
SG31A1000000,"SINGAPORE, REPUBLIC OF (GOVERNMENT)","{""identity"":""190"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":2.6027397260273974,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""SG-BOND"",""type"":""BOND"",""timeToMaturityDays"":950,""ISIN"":""SG31A1000000"",""ratingScore"":""100"",""price"":102.473,""maturityDate"":""2020/01/07"",""yield"":0,""minUnitValue"":1000,""name"":""SINGAPORE GOVERNMENT"",""currency"":""SGD"",""id"":""SG31A1000000"",""minUnit"":1,""issueDate"":""2015/07/07""}}"
SG7S29941612,"SINGAPORE, REPUBLIC OF (GOVERNMENT)","{""identity"":""195"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":2,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""SG-BOND"",""type"":""BOND"",""timeToMaturityDays"":730,""ISIN"":""SG7S29941612"",""ratingScore"":""100"",""price"":104.09,""maturityDate"":""2019/06/01"",""yield"":0,""minUnitValue"":1000,""name"":""SINGAPORE GOVERNMENT"",""currency"":""SGD"",""id"":""SG7S29941612"",""minUnit"":1,""issueDate"":""2009/06/01""}}"
SG7Y76964295,"SINGAPORE, REPUBLIC OF (GOVERNMENT)","{""identity"":""196"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":4.002739726027397,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""SG-BOND"",""type"":""BOND"",""timeToMaturityDays"":1461,""ISIN"":""SG7Y76964295"",""ratingScore"":""100"",""price"":102.473,""maturityDate"":""2021/06/01"",""yield"":0,""minUnitValue"":1000,""name"":""SINGAPORE GOVERNMENT"",""currency"":""SGD"",""id"":""SG7Y76964295"",""minUnit"":1,""issueDate"":""2011/06/01""}}"
SG3260987684,"SINGAPORE, REPUBLIC OF (GOVERNMENT)","{""identity"":""197"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":6.0849315068493155,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""SG-BOND"",""type"":""BOND"",""timeToMaturityDays"":2221,""ISIN"":""SG3260987684"",""ratingScore"":""100"",""price"":105.105,""maturityDate"":""2023/07/01"",""yield"":0,""minUnitValue"":1000,""name"":""SINGAPORE GOVERNMENT"",""currency"":""SGD"",""id"":""SG3260987684"",""minUnit"":1,""issueDate"":""2013/07/01""}}"
SG7928920854,"SINGAPORE, REPUBLIC OF (GOVERNMENT)","{""identity"":""269"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":2.6082191780821917,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""SG-BOND"",""type"":""BOND"",""timeToMaturityDays"":952,""ISIN"":""SG7928920854"",""ratingScore"":""100"",""price"":106.09,""maturityDate"":""2020/01/09"",""yield"":0,""minUnitValue"":1000,""name"":""SINGAPORE, REPUBLIC OF (GOVERNMENT)"",""currency"":""SGD"",""id"":""SG7928920854"",""minUnit"":1,""issueDate"":""2005/01/09""}}"
SG7J28931946,"SINGAPORE, REPUBLIC OF (GOVERNMENT)","{""identity"":""270"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":4.610958904109589,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""SG-BOND"",""type"":""BOND"",""timeToMaturityDays"":1683,""ISIN"":""SG7J28931946"",""ratingScore"":""100"",""price"":107.47,""maturityDate"":""2022/01/09"",""yield"":0,""minUnitValue"":1000,""name"":""SINGAPORE, REPUBLIC OF (GOVERNMENT)"",""currency"":""SGD"",""id"":""SG7J28931946"",""minUnit"":1,""issueDate"":""2007/03/09""}}"
XS1068186227,TENCENT HOLDINGS LTD,"{""identity"":""170"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":500000,""idType"":""ISIN"",""timeToMaturityYears"":2.610958904109589,""rating"":""A+"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""HK-BILL"",""type"":""BILL"",""timeToMaturityDays"":953,""ISIN"":""XS1068186227"",""ratingScore"":""96"",""price"":0.6,""maturityDate"":""2020/01/10"",""yield"":0,""minUnitValue"":500000,""name"":""HONG KONG GOVERNMENT"",""currency"":""HKD"",""id"":""XS1226268735"",""minUnit"":1,""issueDate"":""2014/05/13""}}"
GB00B39R3F84,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (GOVERNMENT),"{""identity"":""194"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":100,""idType"":""ISIN"",""rating"":""AA"",""timeToMaturityYears"":1.7643835616438357,""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""GB-SUPR2"",""type"":""BOND"",""timeToMaturityDays"":644,""ISIN"":""GB00B39R3F84"",""ratingScore"":""98"",""price"":104.09,""maturityDate"":""2019/03/07"",""yield"":0,""minUnitValue"":1,""name"":""UNITED KINGDOM"",""currency"":""GBP"",""id"":""GB00B39R3F84"",""minUnit"":0.01,""issueDate"":""2008/09/25""}}"
GB00B1VWPC84,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (GOVERNMENT),"{""identity"":""202"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":0.01,""idType"":""ISIN"",""timeToMaturityYears"":0.7643835616438356,""rating"":""AA+"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""GB-SUPR2"",""type"":""BOND"",""timeToMaturityDays"":279,""ISIN"":""GB00B1VWPC84"",""ratingScore"":""99"",""price"":109.123,""maturityDate"":""2018/03/07"",""yield"":0,""minUnitValue"":1000,""name"":""UK TSY 5% 2018"",""currency"":""GBP"",""id"":""GB00B1VWPC84"",""minUnit"":100000,""issueDate"":""2007/05/25""}}"
